Academic Year;ID Student;SBCoER Effectiveness;Exercise1 Effectiveness;Exercise2 Effectiveness;Exercise3 Effectiveness;Exercise4 Effectiveness;SBCoER Effectiveness Increase;Exercise1 Effectiveness Increase;Exercise 2 Effectiveness Increase;Exercise3 Effectiveness Increase;Exercise4 Effectiveness Increase;SBCoER Participation;Exercise1 Participation;Exercise2 Participation;Exercise3 Participation;Exercise4 Participation;SBCoER Dropout;Exercise1 Dropout;Exercise2 Dropout;Exercise3 Dropout;Exercise4 Dropout;SBCoER Active Time;Exercise1 Active Time;Exercise2 Active Time;Exercise3 Active Time;Exercise4 Active Time;SBCoER Number Executions;Exercise1 Number Executions;Exercise2 Number Executions;Exercise3 Number Executions;Exercise4 Number Executions
2022-2023;22-23Student092;100;100;100;100;100;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;11;5;2;2;2;235;68;112;26;29
2022-2023;22-23Student093;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;6;3;2;2;170;17;115;33;5
2022-2023;22-23Student094;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;12;6;2;2;2;81;22;28;27;4
2022-2023;22-23Student095;98;100;100;100;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;5;2;4;2;53;12;16;18;7
2022-2023;22-23Student096;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;13;6;3;2;2;133;22;40;40;31
2022-2023;22-23Student097;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;12;5;3;2;2;56;12;20;15;9
2022-2023;22-23Student098;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;12;6;2;2;2;130;27;29;45;29
2022-2023;22-23Student099;97;100;100;100;82;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;14;6;3;3;2;49;12;23;7;7
2022-2023;22-23Student100;98;100;100;100;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;5;2;2;2;108;17;52;25;14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
